"AdjR","DV","EnsembleX","EnsembleY","N","ResultedCoeff","VAR_color","a","acc","accuracy","average_response_time","avg_rt","b","b_participant","background","button","c","canvas_backend","clock_backend","coeff_a","coeff_b","color_backend","compression","correct","correct_information_sketchpad_0","correct_information_sketchpad_1","correct_information_sketchpad_2","correct_information_sketchpad_2_5","correct_information_sketchpad_3","correct_information_sketchpad_4","correct_information_sketchpad_5","correct_information_sketchpad_6","count_canvas_script","count_canvas_script_p","count_correction_script","count_experiment","count_final_logger","count_fixation_point_1_p","count_fixation_point_2_p","count_fixationpoint_1","count_fixationpoint_2","count_information_sketchpad_0","count_information_sketchpad_1","count_information_sketchpad_2","count_information_sketchpad_2_5","count_information_sketchpad_3","count_information_sketchpad_4","count_information_sketchpad_5","count_information_sketchpad_6","count_information_sketchpad_7","count_main_experiment","count_mainexperiment_loop","count_mouse_script","count_mouse_script_p","count_outlier_script","count_outlier_script_p","count_practice","count_practice_loop","count_prep_script","count_prep_script_p","count_theta_script","datetime","description","disable_garbage_collection","distance_participant","distance_stimuli","end_resp","ex","experiment_file","experiment_path","ey","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i1","keyboard_backend","live_row","live_row_mainexperiment_loop","live_row_practice_loop","logfile","m_participant","max_value","mean_a0","mean_a1","mean_a_outlier","mean_b0","mean_b2","mean_b_outlier","min_value","mouse_backend","n_outlier","opensesame_codename","opensesame_version","outlier_tail","pos","pos_outlier","r","r_direction","repeat_cycle","response","response_information_sketchpad_0","response_information_sketchpad_1","response_information_sketchpad_2","response_information_sketchpad_2_5","response_information_sketchpad_3","response_information_sketchpad_4","response_information_sketchpad_5","response_information_sketchpad_6","response_information_sketchpad_7","response_time","response_time_information_sketchpad_0","response_time_information_sketchpad_1","response_time_information_sketchpad_2","response_time_information_sketchpad_2_5","response_time_information_sketchpad_3","response_time_information_sketchpad_4","response_time_information_sketchpad_5","response_time_information_sketchpad_6","response_time_information_sketchpad_7","round_decimals","rz","rz2","sampler_backend","shit","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_resp","std_a1","std_b2","std_dev_a0","std_dev_a_outlier","std_dev_b0","std_dev_b_outlier","subject_nr","subject_parity","sx","sy","thetax","time_canvas_script","time_canvas_script_p","time_correction_script","time_experiment","time_final_logger","time_fixation_point_1_p","time_fixation_point_2_p","time_fixationpoint_1","time_fixationpoint_2","time_information_sketchpad_0","time_information_sketchpad_1","time_information_sketchpad_2","time_information_sketchpad_2_5","time_information_sketchpad_3","time_information_sketchpad_4","time_information_sketchpad_5","time_information_sketchpad_6","time_information_sketchpad_7","time_main_experiment","time_mainexperiment_loop","time_mouse_script","time_mouse_script_p","time_outlier_script","time_outlier_script_p","time_practice","time_practice_loop","time_prep_script","time_prep_script_p","time_theta_script","timestamp","title","tolerance","total_correct","total_response_time","total_responses","variable_color","width","x1","x2","y1","y2","y_stimuli"
"0.26773693328729997","9.68839476816855","-9.030899221508566","-29.376998445157923","50","0.30247622164392907","0","-0.9165020988164909","undefined","undefined","undefined","undefined","-0.08083922814814556","5.950310559006212","#808180","1","0.08734132696463652","psycho","psycho","2.2642645472968184","-30.297243221175677","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","7","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","7","7","0","0","7","0","Fri Nov 15 11:52:27 2024","The main experiment item","False","122.13350332796492","112.44510855979637","367340.74919996783","176.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","146.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","0","0","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-0.8633540372670807","240","120","117.73573545270318","-180","120","150.29724322117568","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","-0.051562321857762355","0.0026586730353634776","psycho","1","1024","2","48000","-16","experiment","366055.3449001163","58.19394503743522","44.963892909420935","60","12","60","12","409","odd","-146.0","-132.0","0.8426635340221561","364399.18310008943","350152.1099000238","352533.8339000009","4119.891700102016","367353.0947000254","349147.3405000288","349651.43450000323","363391.70889998786","363898.5340001527","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","363387.64800014906","363367.7141000517","364742.5943999551","350493.42620000243","363388.2724000141","349143.96480005234","349143.2887001429","298207.7436000109","363387.6975001767","349143.34199996665","367353.0375000555","367340.74919996783","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","5.0"
"0.3945768850606221","-4.486606553846002","-42.65971349083777","-25.530547536650346","50","0.5975830083077103","1","-0.16755668879950705","undefined","undefined","undefined","undefined","-0.8234412489919619","19.192307692307693","#808180","1","0.35099793779146893","psycho","psycho","1.6239274829390098","-59.08490989238334","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","7","7","0","1","7","7","1","1","0","0","0","0","0","0","0","0","0","1","0","1","7","1","7","7","0","1","7","1","Fri Nov 15 11:52:27 2024","The main experiment item","False","139.513393446154","144.0","371236.6404000204","-165.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","142.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","1","1","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","0.9769230769230769","240","120","118.37607251706099","180","120","179.08490989238334","0","0","psycho","0","Melodramatic Milgram","4.0.13","1","50","0","0.6","1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","0.09487919797580006","0.009002062208531064","psycho","1","1024","2","48000","-16","experiment","369519.3527000956","47.6640097546989","41.958837241326066","60","12","60","12","409","odd","95.0","-112.0","0.8426635340221561","368399.26169998944","350152.1099000238","352533.8339000009","4119.891700102016","371250.44520013034","349147.3405000288","349651.43450000323","367394.94480006397","367898.7016000319","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","367390.07119997405","363367.7141000517","368717.8663001396","350493.42620000243","367391.63420000114","349143.96480005234","349143.2887001429","298207.7436000109","367390.2054000646","349143.34199996665","371250.4039001651","371236.6404000204","Yeni deney","0.005","0","0","0","red","1920","-200","200","-168.53270680443123","168.53270680443123","-3.0"
"0.21370208526600204","2.9616564391078697","-40.6236348601209","-1.3322093905748886","50","0.2972798961428715","1","-0.7445954326069375","undefined","undefined","undefined","undefined","-0.25360512938751084","2.8075709779180045","#808180","1","0.08820056199444837","psycho","psycho","-7.21721381281364","-43.83719266148714","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","7","7","0","2","7","7","2","2","0","0","0","0","0","0","0","0","0","2","0","2","7","2","7","7","0","2","7","2","Fri Nov 15 11:52:27 2024","The main experiment item","False","130.24087705268641","127.27922061357854","374734.0139001608","178.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","178.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","2","2","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-1.0157728706624605","240","120","127.21721381281364","-180","120","163.83719266148714","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","0.0424197831860517","0.0017994380055516342","psycho","1","1024","2","48000","-16","experiment","373495.33549998887","62.44427169612695","53.36643384741539","60","12","60","12","409","odd","-139.0","-144.0","0.8426635340221561","372283.74400013126","350152.1099000238","352533.8339000009","4119.891700102016","374751.44620006904","349147.3405000288","349651.43450000323","371275.1216001343","371783.4546000231","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","371271.33420016617","363367.7141000517","372617.45210015215","350493.42620000243","371271.9442001544","349143.96480005234","349143.2887001429","298207.7436000109","371271.380700171","349143.34199996665","374751.40710012056","374734.0139001608","Yeni deney","0.005","0","0","0","red","1920","-200","200","-168.53270680443123","168.53270680443123","4"
"0.40225288783090934","13.540677053766487","122.42143541309332","63.7763885814733","50","0.6025653682889225","1","-0.1896898521792851","undefined","undefined","undefined","undefined","-0.8046937527864717","14.83501683501683","#808180","1","0.3543836049657567","psycho","psycho","13.886708760521955","-37.1748272084364","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","7","7","0","3","7","7","3","3","0","0","0","0","0","0","0","0","0","3","0","3","7","3","7","7","0","3","7","3","Fri Nov 15 11:52:27 2024","The main experiment item","False","125.98578561356285","112.44510855979637","378634.4805001281","178.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","132.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","3","3","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-0.8249158249158249","240","120","106.11329123947804","-180","120","157.1748272084364","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","0.07494261160543608","0.005616395034243243","psycho","1","1024","2","48000","-16","experiment","376895.3398000449","63.087671702604204","58.054186029182446","60","12","60","12","409","odd","-119.0","-113.0","0.8426635340221561","375783.38340017945","350152.1099000238","352533.8339000009","4119.891700102016","378650.60860011727","349147.3405000288","349651.43450000323","374774.6761001181","375282.6174001675","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","374770.8507999778","363367.7141000517","376115.03950017504","350493.42620000243","374771.76110004075","349143.96480005234","349143.2887001429","298207.7436000109","374770.978000015","349143.34199996665","378650.5640000105","378634.4805001281","Yeni deney","0.005","0","0","0","red","1920","-200","200","-168.53270680443123","168.53270680443123","5.0"
"0.4239610717194512","18.74676257231566","-24.740521538674855","-24.42995800025841","50","0.5954585498820216","0","-0.2623593776180099","undefined","undefined","undefined","undefined","-0.7374464825234848","12.780000000000001","#808180","1","0.35980586014149474","psycho","psycho","2.7012984769441744","-35.46795510652629","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","7","7","0","4","7","7","4","4","0","0","0","0","0","0","0","0","0","4","0","4","7","4","7","7","0","4","7","4","Fri Nov 15 11:52:27 2024","The main experiment item","False","146.0259831858942","127.27922061357854","382300.5794000346","162.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","180.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","4","4","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-1.19","240","120","117.29870152305583","-180","120","155.4679551065263","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","0.013933408000386964","0.00019413985850524746","psycho","1","1024","2","48000","-16","experiment","380911.340800114","60.15382764012893","59.815478978094944","60","12","60","12","409","odd","-138.0","-177.0","0.8426635340221561","379680.95980002545","350152.1099000238","352533.8339000009","4119.891700102016","382317.27210013196","349147.3405000288","349651.43450000323","378676.79430008866","379180.47190015204","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","378671.31760017946","363367.7141000517","380019.6138001047","350493.42620000243","378673.74650016427","349143.96480005234","349143.2887001429","298207.7436000109","378671.53519997373","349143.34199996665","382317.2279000282","382300.5794000346","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","4"
"0.2037888342073402","15.86605483027563","21.82283130805378","-51.482521190751456","50","0.2951177582229691","0","-0.7177909199413858","undefined","undefined","undefined","undefined","-0.27884418956915474","-3.5572139303482686","#808180","1","0.08663510951054053","psycho","psycho","-13.727870288231685","-42.45759813330815","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","7","7","0","5","7","7","5","5","0","0","0","0","0","0","0","0","0","5","0","5","7","5","7","7","0","5","7","5","Fri Nov 15 11:52:27 2024","The main experiment item","False","159.86605483027563","144.0","386100.65300017595","104.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","195.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","5","5","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-1.8407960199004976","240","120","133.72787028823168","180","120","162.45759813330815","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","0.05800767612531519","0.003364890489459462","psycho","1","1024","2","48000","-16","experiment","384839.33860016987","50.17391832316815","55.60468545366684","60","12","60","12","409","odd","-97.0","-175.0","0.8426635340221561","383350.4208000377","350152.1099000238","352533.8339000009","4119.891700102016","386118.6025000643","349147.3405000288","349651.43450000323","382342.1511000488","382850.1428000163","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","382338.2157001179","363367.7141000517","383692.49509996735","350493.42620000243","382339.03330005705","349143.96480005234","349143.2887001429","298207.7436000109","382338.2610999979","349143.34199996665","386118.5586999636","386100.65300017595","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","3.0"
"0.24334565032892053","43.38015683156361","23.973998728835","14.427869258382202","50","0.303813617361607","0","-0.833027361497493","undefined","undefined","undefined","undefined","-0.16692180218870337","38.34661354581672","#808180","1","0.08994916368619643","psycho","psycho","-0.4569237679128122","-33.70929989640223","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","7","7","0","6","7","7","6","6","0","0","0","0","0","0","0","0","0","6","0","6","7","6","7","7","0","6","7","6","Fri Nov 15 11:52:27 2024","The main experiment item","False","170.65937744514216","127.27922061357854","389367.4008001108","148.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","181.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","6","6","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","-1.4820717131474104","240","120","120.45692376791281","-180","120","153.70929989640223","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","-0.007129958892137092","5.083631380356479e-05","psycho","1","1024","2","48000","-16","experiment","388359.344500117","57.30407220240459","60.92388462101984","60","12","60","12","409","odd","-103.0","-191.0","0.8426635340221561","387146.6691000387","350152.1099000238","352533.8339000009","4119.891700102016","389383.9770001359","349147.3405000288","349651.43450000323","386142.4102000892","386646.53960010037","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","386138.48450011574","363367.7141000517","387466.337100137","350493.42620000243","386139.3910001498","349143.96480005234","349143.2887001429","298207.7436000109","386138.60840001144","349143.34199996665","389383.9330000337","389367.4008001108","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","4"
"0.26589273167236965","-12.789797684300993","-12.712504489009358","-17.799074188400624","50","0.3041926624244681","0","-0.9098114509328341","undefined","undefined","undefined","undefined","-0.08787715550369465","62.64150943396227","#808180","1","0.08768860643652886","psycho","psycho","2.5160000903563713","-38.520282061635726","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","7","0","7","7","7","7","7","0","0","0","0","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","7","Fri Nov 15 11:52:27 2024","The main experiment item","False","131.210202315699","144.0","393367.18200007454","-117.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","164.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","7","7","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","1.9371069182389937","240","120","117.48399990964363","-180","120","158.52028206163573","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","-0.04807695459855112","0.002311393563471146","psycho","1","1024","2","48000","-16","experiment","391775.3312999848","57.23522353329859","47.85307144089876","60","12","60","12","409","odd","42.0","-144.0","0.8426635340221561","390420.97630002536","350152.1099000238","352533.8339000009","4119.891700102016","393384.10450005904","349147.3405000288","349651.43450000323","389407.60609996505","389920.16860004514","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","389403.969099978","363367.7141000517","390742.91180004366","350493.42620000243","389404.67009996064","349143.96480005234","349143.2887001429","298207.7436000109","389404.1109001264","349143.34199996665","393384.0570000466","393367.18200007454","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","-3.0"
"0.43483887308734165","-2.787233057287864","-34.77242737877076","44.14179571092227","50","0.595445026462512","1","-0.3054065290610042","undefined","undefined","undefined","undefined","-0.6942112587592038","-7.649122807017534","#808180","1","0.3596177878202079","psycho","psycho","5.900484599439466","-36.38355673613907","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","7","7","0","8","7","7","8","8","0","0","0","0","0","0","0","0","0","8","0","8","7","8","7","7","0","8","7","8","Fri Nov 15 11:52:27 2024","The main experiment item","False","109.6578755025085","112.44510855979637","397788.8708000537","-200.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","148.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","8","8","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","0.7017543859649122","240","120","114.09951540056053","-180","120","156.38355673613907","0","0","psycho","1","Melodramatic Milgram","4.0.13","-1","50","0","0.6","1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","-0.019550247563446966","0.00038221217979206404","psycho","1","1024","2","48000","-16","experiment","396063.33220005035","56.30027075511735","52.6717272793981","60","12","60","12","409","odd","199.0","-132.0","0.8426635340221561","394416.45950009115","350152.1099000238","352533.8339000009","4119.891700102016","397801.11330002546","349147.3405000288","349651.43450000323","393407.7517001424","393915.56820017286","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","393403.8331999909","363367.7141000517","394744.1634000279","350493.42620000243","393404.7459999565","349143.96480005234","349143.2887001429","298207.7436000109","393403.959200019","349143.34199996665","397801.07460008","397788.8708000537","Yeni deney","0.005","0","0","0","red","1920","-200","200","-168.53270680443123","168.53270680443123","-5.0"
"0.4315736706802405","-14.242225261482801","-57.40596149347275","-26.057070050164413","50","0.5993924167519111","0","-0.2919582719861229","undefined","undefined","undefined","undefined","-0.7079556988695326","3.4661016949152668","#808180","1","0.3599139708556554","psycho","psycho","4.326245113266893","-38.79252338385973","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","7","7","0","9","7","7","9","9","0","0","0","0","0","0","0","0","0","9","0","9","7","9","7","7","0","9","7","9","Fri Nov 15 11:52:27 2024","The main experiment item","False","113.03699535209574","127.27922061357854","401722.84290008247","-171.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","140.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","9","9","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-409.csv","0.8389830508474576","240","120","115.67375488673311","-180","120","158.79252338385973","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","1","0","space","space","space","space","space","space","space","space","space","NA","4061.0017001163214","155061.10809999518","60962.396200047806","45467.395400162786","19036.165699828416","11260.567800141871","2261.092600179836","4638.6621000710875","4061.0017001163214","NA","2","-0.009275189720139316","8.602914434457804e-05","psycho","1","1024","2","48000","-16","experiment","400279.33449996635","52.1864878448034","51.202829848975504","60","12","60","12","409","odd","183.0","-157.0","0.8426635340221561","398832.32040004805","350152.1099000238","352533.8339000009","4119.891700102016","401735.8057999518","349147.3405000288","349651.43450000323","397824.37080005184","398332.0711001288","4138.330799993128","159205.01750009134","220172.02259995975","265643.217000179","284682.83449998125","295946.2731999811","354664.69680005684","359306.345500052","NA","397820.33800007775","363367.7141000517","399166.8925001286","350493.42620000243","397821.37190015055","349143.96480005234","349143.2887001429","298207.7436000109","397820.3835999593","349143.34199996665","401735.7654001098","401722.84290008247","Yeni deney","0.005","0","0","0","white","1920","-200","200","-168.53270680443123","168.53270680443123","-4"
