"AdjR","DV","EnsembleX","EnsembleY","N","ResultedCoeff","VAR_color","a","acc","accuracy","average_response_time","avg_rt","b","b_participant","background","button","c","canvas_backend","clock_backend","coeff_a","coeff_b","color_backend","compression","correct","correct_information_sketchpad_0","correct_information_sketchpad_1","correct_information_sketchpad_2","correct_information_sketchpad_3","correct_information_sketchpad_4","correct_information_sketchpad_5","correct_information_sketchpad_6","count_canvas_script","count_canvas_script_p","count_correction_script","count_experiment","count_final_logger","count_fixation_point_1_p","count_fixation_point_2_p","count_fixationpoint_1","count_fixationpoint_2","count_information_sketchpad_0","count_information_sketchpad_1","count_information_sketchpad_2","count_information_sketchpad_2_5","count_information_sketchpad_3","count_information_sketchpad_4","count_information_sketchpad_5","count_information_sketchpad_6","count_information_sketchpad_7","count_main_experiment","count_mainexperiment_loop","count_mouse_script","count_mouse_script_p","count_outlier_script","count_outlier_script_p","count_practice","count_practice_loop","count_prep_script","count_prep_script_p","count_theta_script","datetime","description","disable_garbage_collection","distance_participant","distance_stimuli","end_resp","ex","experiment_file","experiment_path","ey","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i1","keyboard_backend","live_row","live_row_mainexperiment_loop","live_row_practice_loop","logfile","m_participant","max_value","mean_a0","mean_a1","mean_a_outlier","mean_b0","mean_b2","mean_b_outlier","min_value","mouse_backend","n_outlier","opensesame_codename","opensesame_version","outlier_tail","pos","pos_outlier","r","r_direction","repeat_cycle","response","response_information_sketchpad_0","response_information_sketchpad_1","response_information_sketchpad_2","response_information_sketchpad_2_5","response_information_sketchpad_3","response_information_sketchpad_4","response_information_sketchpad_5","response_information_sketchpad_6","response_information_sketchpad_7","response_time","response_time_information_sketchpad_0","response_time_information_sketchpad_1","response_time_information_sketchpad_2","response_time_information_sketchpad_2_5","response_time_information_sketchpad_3","response_time_information_sketchpad_4","response_time_information_sketchpad_5","response_time_information_sketchpad_6","response_time_information_sketchpad_7","round_decimals","rz","rz2","sampler_backend","shit","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_resp","std_a1","std_b2","std_dev_a0","std_dev_a_outlier","std_dev_b0","std_dev_b_outlier","subject_nr","subject_parity","sx","sy","thetax","time_canvas_script","time_canvas_script_p","time_correction_script","time_experiment","time_final_logger","time_fixation_point_1_p","time_fixation_point_2_p","time_fixationpoint_1","time_fixationpoint_2","time_information_sketchpad_0","time_information_sketchpad_1","time_information_sketchpad_2","time_information_sketchpad_2_5","time_information_sketchpad_3","time_information_sketchpad_4","time_information_sketchpad_5","time_information_sketchpad_6","time_information_sketchpad_7","time_main_experiment","time_mainexperiment_loop","time_mouse_script","time_mouse_script_p","time_outlier_script","time_outlier_script_p","time_practice","time_practice_loop","time_prep_script","time_prep_script_p","time_theta_script","timestamp","title","tolerance","total_correct","total_response_time","total_responses","variable_color","width","x1","x2","y1","y2","y_stimuli"
"0.23504138977498734","-19.3885081171468","22.169461338818934","35.188699009025896","50","0.29658420962203114","1","-0.8069171630175845","undefined","undefined","undefined","undefined","-0.19303075203673958","0.0","#808180","1","0.08994791505432403","psycho","psycho","-6.114278177298189","-36.46478193997257","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","7","7","0","0","7","7","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","7","0","7","7","0","0","7","0","Tue May 20 17:04:13 2025","The main experiment item","False","107.89071249643175","127.27922061357854","368050.64400006086","211.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","-158.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","0","0","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","0.7488151658767772","240","120","126.11427817729819","180","120","156.46478193997257","0","0","psycho","0","Melodramatic Milgram","4.0.24","1","50","0","0.3","1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.0072169900703799575","5.2084945675962903e-05","psycho","1","1024","2","48000","-16","experiment","367075.9656999726","50.46959061008375","50.36078381367486","60","12","60","12","415","odd","0.0","-0.0","-0.8337242495134214","365617.9492000956","347652.1060001105","351234.7318001557","3843.8637000508606","368067.43360008113","346634.65979998","347151.3515000697","364600.70810001343","365117.41820001043","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","364583.8744000066","364564.3186001107","365967.4696000293","348001.8523000181","364584.7071001772","346615.735600004","346615.02600018866","290364.3982000649","364583.9170999825","346615.083000157","368067.3879000824","368050.64400006086","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","-4"
"0.4451518210147459","-88.45982553539312","0.0862934870335863","37.32942702021293","50","0.5959524527481979","1","-0.3511528810550069","undefined","undefined","undefined","undefined","-0.6459994605904069","-51.940119760479035","#808180","1","0.35715234164541376","psycho","psycho","-4.365374928767949","-46.970326108397416","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","7","7","0","1","7","7","1","1","0","0","0","NA","0","0","0","0","0","1","0","1","7","1","7","7","0","1","7","1","Tue May 20 17:04:13 2025","The main experiment item","False","38.81939507818543","127.27922061357854","371050.5500000436","184.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","150.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","1","1","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","-0.5329341317365269","240","120","124.36537492876795","-180","120","166.97032610839742","0","0","psycho","1","Melodramatic Milgram","4.0.24","-1","50","0","0.6","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","-0.05336345523470368","0.002847658354586223","psycho","1","1024","2","48000","-16","experiment","370219.96919997036","55.07933391893857","50.58867345335641","60","12","60","12","415","odd","-150.0","-28.0","-0.8337242495134214","369134.201399982","347652.1060001105","351234.7318001557","3843.8637000508606","371067.3695001751","346634.65979998","347151.3515000697","368117.24740010686","368633.9458001312","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","368094.11370009184","364564.3186001107","369467.9956000764","348001.8523000181","368094.79800006375","346615.735600004","346615.02600018866","290364.3982000649","368094.15969997644","346615.083000157","371067.330500111","371050.5500000436","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","4"
"0.4349295785954281","-10.459241365047859","-30.517633160050387","-96.78308976863057","50","0.5989916252539902","0","-0.3057868897058433","undefined","undefined","undefined","undefined","-0.6938195429003322","56.20754716981132","#808180","1","0.3596064326061755","psycho","psycho","9.144724018708004","-38.24373993087411","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","7","7","0","2","7","7","2","2","0","0","0","NA","0","0","0","0","0","2","0","2","7","2","7","7","0","2","7","2","Tue May 20 17:04:13 2025","The main experiment item","False","133.54075863495214","144.0","374750.4186001606","-80.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","97.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","2","2","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","1.9150943396226414","240","120","110.855275981292","-180","120","158.2437399308741","0","0","psycho","0","Melodramatic Milgram","4.0.24","-1","50","0","0.6","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","-0.01983853305626466","0.0003935673938245057","psycho","1","1024","2","48000","-16","experiment","374099.9478001613","53.242654540904375","60.59407069252654","60","12","60","12","415","odd","26.0","-106.0","-0.8337242495134214","372134.37270000577","347652.1060001105","351234.7318001557","3843.8637000508606","374767.20390003175","346634.65979998","347151.3515000697","371117.1548999846","371633.88120010495","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","371095.34520003945","364564.3186001107","372467.54009998403","348001.8523000181","371095.9581001662","346615.735600004","346615.02600018866","290364.3982000649","371095.3917000443","346615.083000157","374767.16509996913","374750.4186001606","Yeni deney","0.005","0","0","0","white","1920","-200","200","166.74484990268428","-166.74484990268428","3.0"
"0.42031384898989976","-48.097326710235095","-53.340416423056254","3.6638389500150197","50","0.6045210746648186","0","-0.24899435400758646","undefined","undefined","undefined","undefined","-0.7503955665904274","22.582043343653254","#808180","1","0.35938992059801383","psycho","psycho","-4.731356507506291","-43.425252276931275","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","7","7","0","3","7","7","3","3","0","0","0","NA","0","0","0","0","0","3","0","3","7","3","7","7","0","3","7","3","Tue May 20 17:04:13 2025","The main experiment item","False","79.18189390334345","127.27922061357854","378150.3048001323","207.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","112.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","3","3","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","-0.6501547987616099","240","120","124.73135650750629","180","120","163.42525227693127","0","0","psycho","1","Melodramatic Milgram","4.0.24","1","50","0","0.6","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.024699785464374725","0.0006100794019861369","psycho","1","1024","2","48000","-16","experiment","376931.96339998394","58.13822629987043","53.068144389472224","60","12","60","12","415","odd","-116.0","-98.0","-0.8337242495134214","375818.0774000939","347652.1060001105","351234.7318001557","3843.8637000508606","378167.1248001512","346634.65979998","347151.3515000697","374800.36950018257","375317.0652000699","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","374789.3640000839","364564.3186001107","376150.95270005986","348001.8523000181","374790.0578000117","346615.735600004","346615.02600018866","290364.3982000649","374789.4949000329","346615.083000157","378167.08820010535","378150.3048001323","Yeni deney","0.005","0","0","0","white","1920","-200","200","166.74484990268428","-166.74484990268428","4"
"0.21345742471493276","-42.031003284367486","-93.23239105736297","-51.3959006910854","50","0.29976110875890133","0","-0.7439182440307471","undefined","undefined","undefined","undefined","-0.25424904742549315","25.83928571428571","#808180","1","0.08816729145624035","psycho","psycho","-7.942016777277701","-35.33699888770053","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","7","7","0","4","7","7","4","4","0","0","0","NA","0","0","0","0","0","4","0","4","7","4","7","7","0","4","7","4","Tue May 20 17:04:13 2025","The main experiment item","False","70.41410527542888","112.44510855979637","381383.512099972","195.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","25.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","4","4","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","-0.26071428571428573","240","120","127.9420167772777","-180","120","155.33699888770053","0","0","psycho","5","Melodramatic Milgram","4.0.24","-1","50","5","0.3","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.042810145336820045","0.001832708543759655","psycho","1","1024","2","48000","-16","experiment","380651.9451001659","61.12459861201713","51.47765266902706","60","12","60","12","415","odd","-85.0","-48.0","-0.8337242495134214","379217.98150008544","347652.1060001105","351234.7318001557","3843.8637000508606","381400.40280018","346634.65979998","347151.3515000697","378200.25280001573","378716.97450010106","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","378188.4655000176","364564.3186001107","379550.8423000574","348001.8523000181","378190.44700008817","346615.735600004","346615.02600018866","290364.3982000649","378188.5391001124","346615.083000157","381400.34650010057","381383.512099972","Yeni deney","0.005","0","0","0","white","1920","-200","200","166.74484990268428","-166.74484990268428","5.0"
"0.44548797827491293","-104.14376778336165","-62.072638320810086","110.96492861484353","50","0.6005976178371639","1","-0.35273326892199913","undefined","undefined","undefined","undefined","-0.6442962441676017","48.30530973451327","#808180","1","0.3570295130896008","psycho","psycho","-13.044194952964375","-52.363972499689055","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","7","7","0","5","7","7","5","5","0","0","0","NA","0","0","0","0","0","5","0","5","7","5","7","7","0","5","7","5","Tue May 20 17:04:13 2025","The main experiment item","False","39.856232216638354","144.0","385333.44139996916","-215.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","63.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","5","5","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","0.5176991150442478","240","120","133.04419495296438","-180","120","172.36397249968905","0","0","psycho","5","Melodramatic Milgram","4.0.24","-1","50","5","0.6","1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","-0.05450217344656245","0.0029704869103991767","psycho","1","1024","2","48000","-16","experiment","383763.911300106","59.68940150736046","57.64890069534836","60","12","60","12","415","odd","11.0","-54.0","-0.8337242495134214","382467.142800102","347652.1060001105","351234.7318001557","3843.8637000508606","385350.23640003055","346634.65979998","347151.3515000697","381450.15140017495","381966.8424001429","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","381427.7723999694","364564.3186001107","382800.7024000399","348001.8523000181","381428.4155999776","346615.735600004","346615.02600018866","290364.3982000649","381427.88350000046","346615.083000157","385350.19740019925","385333.44139996916","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","-3.0"
"0.1815263952616524","-37.71462353122385","-19.40787889478942","73.28946855318851","50","0.30133135352333823","0","-0.6620336521064943","undefined","undefined","undefined","undefined","-0.3296154795111376","8.034883720930232","#808180","1","0.08164913161763201","psycho","psycho","-2.7705966217876323","-21.951213726116407","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","7","7","0","6","7","7","6","6","0","0","0","NA","0","0","0","0","0","6","0","6","7","6","7","7","0","6","7","6","Tue May 20 17:04:13 2025","The main experiment item","False","89.5645970823547","127.27922061357854","388783.4101000335","-90.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","49.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","6","6","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","0.6337209302325582","240","120","122.77059662178763","-180","120","141.9512137261164","0","0","psycho","0","Melodramatic Milgram","4.0.24","-1","50","0","0.3","1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.0913830858658646","0.008350868382367984","psycho","1","1024","2","48000","-16","experiment","387939.93920017965","58.005867607896526","54.49980228438627","60","12","60","12","415","odd","82.0","-60.0","-0.8337242495134214","386400.83370008506","347652.1060001105","351234.7318001557","3843.8637000508606","388800.13620015234","346634.65979998","347151.3515000697","385383.34310008213","385900.02669999376","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","385372.5541001186","364564.3186001107","386733.45639999025","348001.8523000181","385373.24730004184","346615.735600004","346615.02600018866","290364.3982000649","385372.7101001423","346615.083000157","388800.0990001019","388783.4101000335","Yeni deney","0.005","0","0","0","white","1920","-200","200","166.74484990268428","-166.74484990268428","-4"
"0.42748648162651876","-131.33753650937638","8.49275252423162","39.03067802216023","50","0.5968780013845753","1","-0.2757713046366733","undefined","undefined","undefined","undefined","-0.724217724434206","52.63265306122449","#808180","1","0.3599890290708793","psycho","psycho","-1.0115942033788201","-44.266257126940076","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","7","0","7","7","7","7","7","0","0","0","NA","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","7","Tue May 20 17:04:13 2025","The main experiment item","False","12.662463490623622","144.0","392199.8305001762","244.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","37.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","7","7","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","-0.3673469387755102","240","120","121.01159420337882","180","120","164.26625712694008","0","0","psycho","1","Melodramatic Milgram","4.0.24","1","50","0","0.6","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.00331223929097454","1.0970929120675523e-05","psycho","1","1024","2","48000","-16","experiment","391043.93699998036","51.28924479358477","55.46474987900871","60","12","60","12","415","odd","-50.0","-71.0","-0.8337242495134214","389850.215600105","347652.1060001105","351234.7318001557","3843.8637000508606","392216.6818000842","346634.65979998","347151.3515000697","388833.1449001562","389349.83330010436","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","388819.76230000146","364564.3186001107","390183.8800001424","348001.8523000181","388821.8692999799","346615.735600004","346615.02600018866","290364.3982000649","388819.9097001925","346615.083000157","392216.6270001326","392199.8305001762","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","3.0"
"0.25349012015086414","-136.4047667864925","17.792428308917508","20.729881020244363","50","0.2981232203635547","1","-0.8664640106613656","undefined","undefined","undefined","undefined","-0.1329018929016656","84.77777777777777","#808180","1","0.08936590356303116","psycho","psycho","-0.19560183328421488","-17.739529995513692","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","7","7","0","8","7","7","8","8","0","0","0","NA","0","0","0","0","0","8","0","8","7","8","7","7","0","8","7","8","Tue May 20 17:04:13 2025","The main experiment item","False","7.595233213507509","144.0","395883.0741001293","-204.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","21.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","8","8","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","0.5185185185185185","240","120","120.19560183328421","-180","120","137.7395299955137","0","0","psycho","5","Melodramatic Milgram","4.0.24","-1","50","5","0.3","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","-0.02518127155186634","0.000634096436968833","psycho","1","1024","2","48000","-16","experiment","394603.9299000986","54.9171153202934","62.331896048129714","60","12","60","12","415","odd","66.0","-119.0","-0.8337242495134214","393267.50720012933","347652.1060001105","351234.7318001557","3843.8637000508606","395899.8145000078","346634.65979998","347151.3515000697","392249.7804001905","392766.4721000474","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","392239.0011001844","364564.3186001107","393600.1287000254","348001.8523000181","392241.8372000102","346615.735600004","346615.02600018866","290364.3982000649","392239.1318001319","346615.083000157","395899.7749001719","395883.0741001293","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","3.0"
"0.42565781178680717","-122.19200093904537","-5.125364137602091","-4.153750589933111","50","0.5975065097447464","1","-0.26875243660027215","undefined","undefined","undefined","undefined","-0.7311692705408468","57.19631901840491","#808180","1","0.359921707141119","psycho","psycho","0.47571170154733977","-47.63984143622562","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","7","7","0","9","7","7","9","9","0","0","0","NA","0","0","0","0","0","9","0","9","7","9","7","7","0","9","7","9","Tue May 20 17:04:13 2025","The main experiment item","False","5.08721967453317","127.27922061357854","399332.9118001275","292.0","scatterplot experiment_3.osexp","C:\Users\B128-G\Desktop\OZGUR","27.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","9","9","7","C:/Users/B128-G/Desktop/OZGUR/subject-415.csv","-0.2883435582822086","240","120","119.52428829845266","180","120","167.63984143622562","0","0","psycho","5","Melodramatic Milgram","4.0.24","1","50","5","0.6","-1","0","space","space","space","space","NA","space","space","space","space","NA","4363.110699923709","178997.06439999864","40754.40670014359","52069.305000128224","NA","12827.623599907383","1794.066300150007","6803.476199973375","4363.110699923709","NA","2","0.00884832520203817","7.829285888102381e-05","psycho","1","1024","2","48000","-16","experiment","398163.94390002824","61.04638439425019","52.465098206570474","60","12","60","12","415","odd","-34.0","-67.0","-0.8337242495134214","396950.39010001346","347652.1060001105","351234.7318001557","3843.8637000508606","399349.94980017655","346634.65979998","347151.3515000697","395932.9796000384","396449.6456000488","3863.073999993503","182873.70050000027","223638.7366000563","NA","275720.417200122","288569.9640000239","353384.4831001479","360200.8438000921","NA","395919.77300005965","364564.3186001107","397283.1396001857","348001.8523000181","395920.769700082","346615.735600004","346615.02600018866","290364.3982000649","395919.8180001695","346615.083000157","399349.90520006977","399332.9118001275","Yeni deney","0.005","0","0","0","red","1920","-200","200","166.74484990268428","-166.74484990268428","4"
