"AdjR","DV","EnsembleX","EnsembleY","N","OutlierX","OutlierY","ResultedCoeff","VAR_color","a","acc","accuracy","average_response_time","avg_rt","b","b_participant","background","button","c","canvas_backend","clock_backend","coeff_a","coeff_b","color_backend","compression","correct","correct_information_sketchpad_0","correct_information_sketchpad_1","correct_information_sketchpad_2","correct_information_sketchpad_2_5","correct_information_sketchpad_3","correct_information_sketchpad_4","correct_information_sketchpad_5","correct_information_sketchpad_6","count_canvas_script","count_canvas_script_p","count_correction_script","count_experiment","count_final_logger","count_fixation_point_1_p","count_fixation_point_2_p","count_fixationpoint_1","count_fixationpoint_2","count_information_sketchpad_0","count_information_sketchpad_1","count_information_sketchpad_2","count_information_sketchpad_2_5","count_information_sketchpad_3","count_information_sketchpad_4","count_information_sketchpad_5","count_information_sketchpad_6","count_information_sketchpad_7","count_main_experiment","count_mainexperiment_loop","count_mouse_script","count_mouse_script_p","count_outlier_script","count_outlier_script_p","count_practice","count_practice_loop","count_prep_script","count_prep_script_p","count_theta_script","datetime","description","disable_garbage_collection","distance_participant","distance_stimuli","end_resp","ex","experiment_file","experiment_path","ey","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i1","i2","keyboard_backend","live_row","live_row_mainexperiment_loop","live_row_practice_loop","logfile","m_participant","max_value","mean_a0","mean_a1","mean_a_outlier","mean_b0","mean_b2","mean_b_outlier","min_value","mouse_backend","n_outlier","opensesame_codename","opensesame_version","outlier_tail","pos","pos_outlier","r","r_direction","repeat_cycle","response","response_information_sketchpad_0","response_information_sketchpad_1","response_information_sketchpad_2","response_information_sketchpad_2_5","response_information_sketchpad_3","response_information_sketchpad_4","response_information_sketchpad_5","response_information_sketchpad_6","response_information_sketchpad_7","response_time","response_time_information_sketchpad_0","response_time_information_sketchpad_1","response_time_information_sketchpad_2","response_time_information_sketchpad_2_5","response_time_information_sketchpad_3","response_time_information_sketchpad_4","response_time_information_sketchpad_5","response_time_information_sketchpad_6","response_time_information_sketchpad_7","round_decimals","rz","rz2","sampler_backend","shit","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_resp","std_a1","std_b2","std_dev_a0","std_dev_a_outlier","std_dev_b0","std_dev_b_outlier","subject_nr","subject_parity","sx","sy","thetax","time_canvas_script","time_canvas_script_p","time_correction_script","time_experiment","time_final_logger","time_fixation_point_1_p","time_fixation_point_2_p","time_fixationpoint_1","time_fixationpoint_2","time_information_sketchpad_0","time_information_sketchpad_1","time_information_sketchpad_2","time_information_sketchpad_2_5","time_information_sketchpad_3","time_information_sketchpad_4","time_information_sketchpad_5","time_information_sketchpad_6","time_information_sketchpad_7","time_main_experiment","time_mainexperiment_loop","time_mouse_script","time_mouse_script_p","time_outlier_script","time_outlier_script_p","time_practice","time_practice_loop","time_prep_script","time_prep_script_p","time_theta_script","timestamp","title","tolerance","total_correct","total_response_time","total_responses","variable_color","width","x1","x2","y1","y2","y_stimuli"
"0.23118275702870927","6.9698353277743195","-49.8563775635974","62.970077526630405","50","-171.0448888519707","8.466408980459567","0.2992970367229258","1","-0.7951524871166468","undefined","undefined","undefined","undefined","-0.204658272754935","-18.090909090909093","#808180","1","0.0898107598715818","psycho","psycho","-2.130856309658114","-32.91857613853557","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","7","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","7","7","0","0","7","0","Fri Nov 15 13:04:59 2024","The main experiment item","False","150.96983532777432","144.0","328604.9496999476","84.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","-85.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","0","0","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","1.2272727272727273","240","120","122.13085630965811","-180","120","152.91857613853557","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","0.013756457698775497","0.00018924012841819966","psycho","1","1024","2","48000","-16","experiment","327355.6609998923","60.07257748899466","57.34250885973927","60","12","60","12","410","even","-92.0","131.0","-0.9271020802146561","325894.12060007453","311569.2382999696","314116.3278000895","4156.390500022098","328618.0473000277","310561.0859999433","311068.7057999894","324884.06850001775","325393.25640001334","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","324880.1122000441","324860.0775001105","326243.11959999613","311899.93100007996","324880.71179995313","310557.7299001161","310556.82369996794","263260.07469999604","324880.15550002456","310556.8760999013","328618.00829996355","328604.9496999476","Yeni deney","0.005","0","0","0","red","1920","-200","200","185.42041604293124","-185.42041604293124","-3.0"
"0.4384527271826206","-48.70452901659179","22.528249501344106","16.202590599699988","50","-165.45323752407475","-11.331310484260758","0.5997024857164801","0","-0.3208532273628703","undefined","undefined","undefined","undefined","-0.678175943948174","-15.38993710691824","#808180","1","0.3590291713110443","psycho","psycho","-5.321590622377485","-47.89975418718029","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","7","7","0","1","7","7","1","1","0","0","0","0","0","0","0","0","0","1","0","1","7","1","7","7","0","1","7","1","Fri Nov 15 13:04:59 2024","The main experiment item","False","63.740579543204575","112.44510855979637","332120.39249995723","154.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","89.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","1","1","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-0.4779874213836478","240","120","125.32159062237749","-180","120","167.8997541871803","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.03115812396399578","0.000970828688955728","psycho","1","1024","2","48000","-16","experiment","331083.65750010125","61.00000242663065","49.4937569651238","60","12","60","12","410","even","-164.0","-63.0","-0.9271020802146561","329655.5604999885","311569.2382999696","314116.3278000895","4156.390500022098","332132.807899965","310561.0859999433","311068.7057999894","328648.2241000049","329155.00949998386","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","328644.00020008907","324860.0775001105","329985.83299992606","311899.93100007996","328645.29310003854","310557.7299001161","310556.82369996794","263260.07469999604","328644.13090003654","310556.8760999013","332132.76530010626","332120.39249995723","Yeni deney","0.005","0","0","0","white","1920","-200","200","185.42041604293124","-185.42041604293124","5.0"
"0.41835348621294993","-29.48372137882376","59.50609019928024","71.90844924046738","50","181.3632235712925","4.363379238129749","0.6032046660151246","0","-0.24201682623679158","undefined","undefined","undefined","undefined","-0.7570592464473024","20.992753623188406","#808180","1","0.35907607268409397","psycho","psycho","3.089077412065052","-48.09155075953262","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","7","7","0","2","7","7","2","2","0","0","0","0","0","0","0","0","0","2","0","2","7","2","7","7","0","2","7","2","Fri Nov 15 13:04:59 2024","The main experiment item","False","97.79549923475479","127.27922061357854","335666.5435000323","127.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","83.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","2","2","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-0.8188405797101449","240","120","116.91092258793495","180","120","168.09155075953262","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","0.030396172718058185","0.0009239273159060247","psycho","1","1024","2","48000","-16","experiment","334419.6671000682","59.50490309114343","55.71769295150519","60","12","60","12","410","even","-149.0","-143.0","-0.9271020802146561","333161.7322000675","311569.2382999696","314116.3278000895","4156.390500022098","335683.2475999836","310561.0859999433","311068.7057999894","332156.53189993463","332660.9378999565","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","332152.6095001027","324860.0775001105","333506.05480000377","311899.93100007996","332153.23649998754","310557.7299001161","310556.82369996794","263260.07469999604","332152.65489998274","310556.8760999013","335683.2109999377","335666.5435000323","Yeni deney","0.005","0","0","0","white","1920","-200","200","185.42041604293124","-185.42041604293124","4"
"0.27648001238956105","-11.304532375726978","129.0606076260005","-32.11750084912936","50","199.55687628311665","1.5545611769107097","0.30052599348112125","1","-0.949132371259518","undefined","undefined","undefined","undefined","-0.04619145859335941","-5.589211618257252","#808180","1","0.08532382985287737","psycho","psycho","9.060607626000504","-35.437611188992605","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","7","7","0","3","7","7","3","3","0","0","0","0","0","0","0","0","0","3","0","3","7","3","7","7","0","3","7","3","Fri Nov 15 13:04:59 2024","The main experiment item","False","115.97468823785157","127.27922061357854","339283.16910006106","110.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","-93.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","3","3","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","0.8962655601659751","240","120","110.9393923739995","180","120","155.4376111889926","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.0683825280837337","0.004676170147122628","psycho","1","1024","2","48000","-16","experiment","337875.6568999961","63.698385121502916","54.69211304390103","60","12","60","12","410","even","-131.0","123.0","-0.9271020802146561","336715.7556999009","311569.2382999696","314116.3278000895","4156.390500022098","339300.2301999368","310561.0859999433","311068.7057999894","335706.9602999836","336214.892399963","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","335702.3559000809","324860.0775001105","337044.3305000663","311899.93100007996","335703.96600011736","310557.7299001161","310556.82369996794","263260.07469999604","335702.4022000842","310556.8760999013","339300.1912001055","339283.16910006106","Yeni deney","0.005","0","0","0","red","1920","-200","200","185.42041604293124","-185.42041604293124","-4"
"0.46269654373563956","-34.4762358107791","-17.379493738432803","0.9063371576752672","50","177.3313955990541","-5.406988848571643","0.5974892021732582","0","-0.44228202910975895","undefined","undefined","undefined","undefined","-0.5442088321516066","25.569506726457405","#808180","1","0.3464908612613656","psycho","psycho","-3.160294218713929","-51.74620539381664","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","7","7","0","4","7","7","4","4","0","0","0","0","0","0","0","0","0","4","0","4","7","4","7","7","0","4","7","4","Fri Nov 15 13:04:59 2024","The main experiment item","False","109.5237641892209","144.0","342919.9904000852","127.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","102.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","4","4","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-1.0044843049327354","240","120","123.16029421871393","180","120","171.74620539381664","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.11622882060244107","0.013509138738634428","psycho","1","1024","2","48000","-16","experiment","341755.6519000791","51.770132997399564","53.43003078257549","60","12","60","12","410","even","-96.0","-122.0","-0.9271020802146561","340334.5145001076","311569.2382999696","314116.3278000895","4156.390500022098","342932.8932999633","310561.0859999433","311068.7057999894","339326.21910003945","339833.69240001775","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","339320.04339993","324860.0775001105","340678.3104999922","311899.93100007996","339323.00470001064","310557.7299001161","310556.82369996794","263260.07469999604","339320.1717999764","310556.8760999013","342932.8552999068","342919.9904000852","Yeni deney","0.005","0","0","0","white","1920","-200","200","185.42041604293124","-185.42041604293124","3.0"
"0.4260407185773118","-5.284977133422046","-18.46963552520654","60.17279251985725","50","-180.47231403360115","8.051386531587823","0.5991811644605313","1","-0.2702109692003023","undefined","undefined","undefined","undefined","-0.7297298342778613","-10.17241379310343","#808180","1","0.35994080347816365","psycho","psycho","0.42820644633346205","-56.327786923629674","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","7","7","0","5","7","7","5","5","0","0","0","0","0","0","0","0","0","5","0","5","7","5","7","7","0","5","7","5","Fri Nov 15 13:04:59 2024","The main experiment item","False","121.9942434801565","127.27922061357854","346418.9561000094","99.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","-71.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","5","5","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","0.8199233716475096","240","120","119.57179355366654","-180","120","176.32778692362967","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","0.007693927594948429","5.919652183630891e-05","psycho","1","1024","2","48000","-16","experiment","345075.6490000058","57.93107603419479","52.489424509341646","60","12","60","12","410","even","-162.0","143.0","-0.9271020802146561","343965.4127000831","311569.2382999696","314116.3278000895","4156.390500022098","346433.0853000283","310561.0859999433","311068.7057999894","342957.26480009034","343464.92050006054","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","342952.6269000489","324860.0775001105","344301.66699993424","311899.93100007996","342954.2296999134","310557.7299001161","310556.82369996794","263260.07469999604","342952.67160004005","310556.8760999013","346433.0442000646","346418.9561000094","Yeni deney","0.005","0","0","0","red","1920","-200","200","185.42041604293124","-185.42041604293124","-4"
"0.24124742745309471","-10.253544586659046","24.285702778065854","87.09514481667696","50","-180.47231403360115","8.051386531587823","0.29611348954744254","0","-0.8263258683778555","undefined","undefined","undefined","undefined","-0.17366209669494898","-2.0","#808180","1","0.0899879650728044","psycho","psycho","-9.44162775154652","-24.636404049837353","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","7","7","0","6","7","7","6","6","0","0","0","0","0","0","0","0","0","6","0","6","7","6","7","7","0","6","7","6","Fri Nov 15 13:04:59 2024","The main experiment item","False","117.0256760269195","127.27922061357854","350099.6089000255","104.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","93.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","6","6","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-0.875","240","120","129.44162775154652","-180","120","144.63640404983735","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.0034691392586043016","1.2034927195589604e-05","psycho","1","1024","2","48000","-16","experiment","348923.64490008913","60.557982144903626","53.446199063003725","60","12","60","12","410","even","-128.0","-110.0","-0.9271020802146561","347465.3396999929","311569.2382999696","314116.3278000895","4156.390500022098","350116.48029997014","310561.0859999433","311068.7057999894","346457.3786999099","346964.98900000006","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","346453.6309998948","324860.0775001105","347874.84670011327","311899.93100007996","346454.2294999119","310557.7299001161","310556.82369996794","263260.07469999604","346453.67700001225","310556.8760999013","350116.4363999851","350099.6089000255","Yeni deney","0.005","0","0","0","white","1920","-200","200","185.42041604293124","-185.42041604293124","4"
"0.44448679694425713","-10.996480781380939","-9.709426902773306","-77.1508158541814","50","-180.47231403360115","8.051386531587823","0.5984693786805548","1","-0.34804375536289606","undefined","undefined","undefined","undefined","-0.649343219458599","3.9273743016759823","#808180","1","0.357386974821495","psycho","psycho","16.70189411042209","-37.84650243507187","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","7","0","7","7","7","7","7","0","0","0","0","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","7","Fri Nov 15 13:04:59 2024","The main experiment item","False","133.00351921861906","144.0","353366.4438999258","89.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","98.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","7","7","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-1.1452513966480447","240","120","103.29810588957791","180","120","157.84650243507187","0","0","psycho","0","Melodramatic Milgram","4.0.13","1","50","0","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.051117757956555494","0.0026130251785049926","psycho","1","1024","2","48000","-16","experiment","352187.6415000297","58.1612427773193","48.445526379877464","60","12","60","12","410","even","-90.0","-107.0","-0.9271020802146561","351148.7630000338","311569.2382999696","314116.3278000895","4156.390500022098","353386.55119994655","310561.0859999433","311068.7057999894","350140.3844000306","350648.2170999516","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","350136.73959998414","324860.0775001105","351466.25189995393","311899.93100007996","350137.33899989165","310557.7299001161","310556.82369996794","263260.07469999604","350136.78899989463","310556.8760999013","353386.50769996457","353366.4438999258","Yeni deney","0.005","0","0","0","red","1920","-200","200","185.42041604293124","-185.42041604293124","3.0"
"0.2596006719271661","-80.89231857249257","-40.67831965181982","-4.5643808617518005","50","187.93406534876712","1.7228946461683594","0.3037789201747719","0","-0.8874685533186701","undefined","undefined","undefined","undefined","-0.11121049939715673","-9.548672566371678","#808180","1","0.08867905271582688","psycho","psycho","-10.755636054273992","-42.195340836353495","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","7","7","0","8","7","7","8","8","0","0","0","0","0","0","0","0","0","8","0","8","7","8","7","7","0","8","7","8","Fri Nov 15 13:04:59 2024","The main experiment item","False","31.552789987303804","112.44510855979637","357237.62829997577","174.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","-31.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","8","8","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","0.23303834808259588","240","120","130.755636054274","180","120","162.1953408363535","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","-0.03634483848049288","0.0013209472841731159","psycho","1","1024","2","48000","-16","experiment","355843.64379988983","63.25745199354469","51.84341957412013","60","12","60","12","410","even","-165.0","48.0","-0.9271020802146561","354419.86769996583","311569.2382999696","314116.3278000895","4156.390500022098","357250.29399991035","310561.0859999433","311068.7057999894","353411.00369999185","353919.74089993164","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","353406.201899983","324860.0775001105","354756.2096999027","311899.93100007996","353407.9160001129","310557.7299001161","310556.82369996794","263260.07469999604","353406.33939998224","310556.8760999013","357250.2570999786","357237.62829997577","Yeni deney","0.005","0","0","0","white","1920","-200","200","185.42041604293124","-185.42041604293124","-5.0"
"0.411465907597233","-21.308347255896464","-23.53301790144517","-34.92172828901509","50","-178.58936674092246","6.364787890446314","0.5965175561231645","1","-0.21858530257573144","undefined","undefined","undefined","undefined","-0.7789219207880426","-31.438162544169614","#808180","1","0.35750722336377394","psycho","psycho","17.4232574762801","-23.60026664628458","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","7","7","0","9","7","7","9","9","0","0","0","0","0","0","0","0","0","9","0","9","7","9","7","7","0","9","7","9","Fri Nov 15 13:04:59 2024","The main experiment item","False","91.1367613038999","112.44510855979637","360599.73079990596","105.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","119.0","False","mono","False","18","no","white","no","yes","1080","49","4","psycho","9","9","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-410.csv","-0.833922261484099","240","120","102.5767425237199","-180","120","143.60026664628458","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","3581.0634000226855","105676.94779997692","58258.54629999958","54867.490499978885","26075.92109986581","12036.58779989928","2149.204900022596","5026.99050004594","3581.0634000226855","NA","2","0.04992771410976142","0.0024927766362260696","psycho","1","1024","2","48000","-16","experiment","359443.64099996164","57.88120032291868","55.755559663075445","60","12","60","12","410","even","-178.0","-117.0","-0.9271020802146561","358277.5884999428","311569.2382999696","314116.3278000895","4156.390500022098","360616.559300106","310561.0859999433","311068.7057999894","357273.6033999827","357777.43600006215","4174.806399969384","109857.18109994195","168120.27120008133","222991.73830007203","249071.1588000413","261110.45720009133","316248.66529996507","321278.59980007634","NA","357270.0036999304","324860.0775001105","358607.3451000266","311899.93100007996","357270.70829994045","310557.7299001161","310556.82369996794","263260.07469999604","357270.12929995544","310556.8760999013","360616.5044000372","360599.73079990596","Yeni deney","0.005","0","0","0","red","1920","-200","200","185.42041604293124","-185.42041604293124","5.0"
