"AdjR","DV","EnsembleX","EnsembleY","N","OutlierX","OutlierY","ResultedCoeff","VAR_color","a","acc","accuracy","average_response_time","avg_rt","b","b_participant","background","button","c","canvas_backend","clock_backend","coeff_a","coeff_b","color_backend","compression","correct","correct_information_sketchpad_0","correct_information_sketchpad_1","correct_information_sketchpad_2","correct_information_sketchpad_2_5","correct_information_sketchpad_3","correct_information_sketchpad_4","correct_information_sketchpad_5","correct_information_sketchpad_6","count_canvas_script","count_canvas_script_p","count_correction_script","count_experiment","count_final_logger","count_fixation_point_1_p","count_fixation_point_2_p","count_fixationpoint_1","count_fixationpoint_2","count_information_sketchpad_0","count_information_sketchpad_1","count_information_sketchpad_2","count_information_sketchpad_2_5","count_information_sketchpad_3","count_information_sketchpad_4","count_information_sketchpad_5","count_information_sketchpad_6","count_information_sketchpad_7","count_main_experiment","count_mainexperiment_loop","count_mouse_script","count_mouse_script_p","count_outlier_script","count_outlier_script_p","count_practice","count_practice_loop","count_prep_script","count_prep_script_p","count_theta_script","datetime","description","disable_garbage_collection","distance_participant","distance_stimuli","end_resp","ex","experiment_file","experiment_path","ey","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i1","keyboard_backend","live_row","live_row_mainexperiment_loop","live_row_practice_loop","logfile","m_participant","max_value","mean_a0","mean_a1","mean_a_outlier","mean_b0","mean_b2","mean_b_outlier","min_value","mouse_backend","n_outlier","opensesame_codename","opensesame_version","outlier_tail","pos","pos_outlier","r","r_direction","repeat_cycle","response","response_information_sketchpad_0","response_information_sketchpad_1","response_information_sketchpad_2","response_information_sketchpad_2_5","response_information_sketchpad_3","response_information_sketchpad_4","response_information_sketchpad_5","response_information_sketchpad_6","response_information_sketchpad_7","response_time","response_time_information_sketchpad_0","response_time_information_sketchpad_1","response_time_information_sketchpad_2","response_time_information_sketchpad_2_5","response_time_information_sketchpad_3","response_time_information_sketchpad_4","response_time_information_sketchpad_5","response_time_information_sketchpad_6","response_time_information_sketchpad_7","round_decimals","rz","rz2","sampler_backend","shit","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_resp","std_a1","std_b2","std_dev_a0","std_dev_a_outlier","std_dev_b0","std_dev_b_outlier","subject_nr","subject_parity","sx","sy","thetax","time_canvas_script","time_canvas_script_p","time_correction_script","time_experiment","time_final_logger","time_fixation_point_1_p","time_fixation_point_2_p","time_fixationpoint_1","time_fixationpoint_2","time_information_sketchpad_0","time_information_sketchpad_1","time_information_sketchpad_2","time_information_sketchpad_2_5","time_information_sketchpad_3","time_information_sketchpad_4","time_information_sketchpad_5","time_information_sketchpad_6","time_information_sketchpad_7","time_main_experiment","time_mainexperiment_loop","time_mouse_script","time_mouse_script_p","time_outlier_script","time_outlier_script_p","time_practice","time_practice_loop","time_prep_script","time_prep_script_p","time_theta_script","timestamp","title","tolerance","total_correct","total_response_time","total_responses","variable_color","width","x1","x2","y1","y2","y_stimuli"
"0.24023959757360708","18.349988555328125","38.628305730588295","49.70714635267919","50","-175.6861874446923","8.284364700243888","0.2964312490881805","1","-0.8231323265313544","undefined","undefined","undefined","undefined","-0.17686471701499176","0.7999999999999972","#808180","1","0.08999704354634609","psycho","psycho","4.026109213855136","-43.521426796053845","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","7","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","7","7","0","0","7","0","Thu Nov 14 13:15:03 2024","The main experiment item","False","130.7950971151245","112.44510855979637","171690.90889999643","58.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","60.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","0","0","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-1.0482758620689656","240","120","115.97389078614486","-180","120","163.52142679605385","0","0","psycho","1","Melodramatic Milgram","4.0.13","-1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","-0.001719434108626603","2.9564536539085613e-06","psycho","1","1024","2","48000","-16","experiment","170781.69209999032","49.42403019509154","51.886224884470685","60","12","60","12","403","odd","-87.0","-92.0","-0.8418732202657068","169038.88980019838","157231.4452000428","159423.128800001","4106.6626000683755","171709.45299998857","156223.07830001228","156730.93180009164","168030.37489997223","168538.46860001795","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","168025.89210006408","168005.95959997736","169374.7012000531","157552.24060011096","168026.90739999525","156220.01390019432","156218.12269999646","117550.0721000135","168025.93460003845","156218.1731001474","171709.41470004618","171690.90889999643","Yeni deney","0.005","0","0","0","red","1920","-200","200","168.37464405314137","-168.37464405314137","5.0"
"0.2455353937204619","-11.40261547883928","71.80225607481958","27.788253781917888","50","-175.6861874446923","8.284364700243888","0.29776656557883174","1","-0.840098117467383","undefined","undefined","undefined","undefined","-0.15978139416632636","28.43636363636363","#808180","1","0.08987951163370944","psycho","psycho","-14.230903406686053","-30.658133084799857","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","7","7","0","1","7","7","1","1","0","0","0","0","0","0","0","0","0","1","0","1","7","1","7","7","0","1","7","1","Thu Nov 14 13:15:03 2024","The main experiment item","False","101.04249308095709","112.44510855979637","174691.50539999828","-96.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","60.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","1","1","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","0.9212121212121213","240","120","134.23090340668605","-180","120","150.65813308479986","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","-0.01097671928631457","0.00012048836629055025","psycho","1","1024","2","48000","-16","experiment","173869.6369000245","48.99931953769604","51.01008458671961","60","12","60","12","403","odd","69.0","-92.0","-0.8418732202657068","172748.4065000899","157231.4452000428","159423.128800001","4106.6626000683755","174703.73030006886","156223.07830001228","156730.93180009164","171740.2441999875","172247.49780003913","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","171736.3054000307","168005.95959997736","173066.99760002084","157552.24060011096","171737.2151000891","156220.01390019432","156218.12269999646","117550.0721000135","171736.45780002698","156218.1731001474","174703.68820009753","174691.50539999828","Yeni deney","0.005","0","0","0","red","1920","-200","200","168.37464405314137","-168.37464405314137","-5.0"
"0.2249893527683865","-31.335017917351905","129.85783518368987","-41.39836186535453","50","195.0781169319937","5.291948211860163","0.29585149857906384","0","-0.7767377037709938","undefined","undefined","undefined","undefined","-0.2226820000978445","30.141592920353986","#808180","1","0.08941970386883835","psycho","psycho","9.857835183689858","-21.8441490808774","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","7","7","0","2","7","7","2","2","0","0","0","0","0","0","0","0","0","2","0","2","7","2","7","7","0","2","7","2","Thu Nov 14 13:15:03 2024","The main experiment item","False","95.94420269622664","127.27922061357854","178020.81110002473","128.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","82.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","2","2","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-0.8761061946902655","240","120","110.14216481631014","180","120","141.8441490808774","0","0","psycho","5","Melodramatic Milgram","4.0.13","1","50","5","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.024089336461630653","0.0005802961311616481","psycho","1","1024","2","48000","-16","experiment","176997.63340014033","52.26178321515724","64.897692917138","60","12","60","12","403","odd","-98.0","-116.0","-0.8418732202657068","175733.12099999748","157231.4452000428","159423.128800001","4106.6626000683755","178032.59940003045","156223.07830001228","156730.93180009164","174728.25530008413","175232.34250000678","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","174724.48480012827","168005.95959997736","176071.62090018392","157552.24060011096","174725.17740004696","156220.01390019432","156218.12269999646","117550.0721000135","174724.63420010172","156218.1731001474","178032.55680017173","178020.81110002473","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","4"
"0.23771690777720067","7.303403555578797","11.519174552210956","-42.019243452856955","50","195.0781169319937","5.291948211860163","0.29706794214781257","0","-0.8152098490950684","undefined","undefined","undefined","undefined","-0.18478320363076783","0.3684210526315752","#808180","1","0.08999305272583628","psycho","psycho","-14.897792227427914","-15.911587748371346","psycho","1.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","7","7","0","3","7","7","3","3","0","0","0","0","0","0","0","0","0","3","0","3","7","3","7","7","0","3","7","3","Thu Nov 14 13:15:03 2024","The main experiment item","False","119.74851211537516","112.44510855979637","181650.94860014506","-101.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","90.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","3","3","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","0.8947368421052632","240","120","134.8977922274279","-180","120","135.91158774837135","0","0","psycho","0","Melodramatic Milgram","4.0.13","-1","50","0","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.0026357682302721158","6.947274163711801e-06","psycho","1","1024","2","48000","-16","experiment","180229.63190008886","58.35596501001314","59.855538792308785","60","12","60","12","403","odd","89.0","-80.0","-0.8418732202657068","179064.2953000497","157231.4452000428","159423.128800001","4106.6626000683755","181665.96460016444","156223.07830001228","156730.93180009164","178057.0228002034","178563.96759999916","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","178052.39120009355","168005.95959997736","179388.42890015803","157552.24060011096","178053.99020016193","156220.01390019432","156218.12269999646","117550.0721000135","178052.5446999818","156218.1731001474","181665.90800019912","181650.94860014506","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","-5.0"
"0.18620091446880777","24.973934261406598","2.2319067627668687","4.0353723196820965","50","186.7703427633222","-1.0751783983754735","0.3027409757957584","0","-0.673259940981407","undefined","undefined","undefined","undefined","-0.3195905614898076","0.0","#808180","1","0.0828505024712146","psycho","psycho","-5.86807767198556","-19.74208113727741","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","7","7","0","4","7","7","4","4","0","0","0","0","0","0","0","0","0","4","0","4","7","4","7","7","0","4","7","4","Thu Nov 14 13:15:03 2024","The main experiment item","False","152.25315487498514","127.27922061357854","185265.79970004968","-70.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","111.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","4","4","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","1.5857142857142856","240","120","125.86807767198556","180","120","139.7420811372774","0","0","psycho","1","Melodramatic Milgram","4.0.13","1","50","0","0.3","1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.08455470139965844","0.007149497528785401","psycho","1","1024","2","48000","-16","experiment","184045.66669999622","47.53600924705621","57.783104260945436","60","12","60","12","403","odd","70.0","-111.0","-0.8418732202657068","182698.6085001845","157231.4452000428","159423.128800001","4106.6626000683755","185290.17739999108","156223.07830001228","156730.93180009164","181690.3525001835","182197.85380014218","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","181685.73690019548","168005.95959997736","183020.48220019788","157552.24060011096","181687.33200011775","156220.01390019432","156218.12269999646","117550.0721000135","181685.78419997357","156218.1731001474","185290.13440012932","185265.79970004968","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","-4"
"0.41864714405088993","-5.163871150006855","-94.51028490590303","54.892715730931656","50","174.6450455061446","9.203061154062821","0.600983064096445","0","-0.24305307553194763","undefined","undefined","undefined","undefined","-0.7560739094390222","-10.121212121212125","#808180","1","0.35912698497096984","psycho","psycho","-10.841811993293618","-44.641837224399495","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","7","7","0","5","7","7","5","5","0","0","0","0","0","0","0","0","0","5","0","5","7","5","7","7","0","5","7","5","Thu Nov 14 13:15:03 2024","The main experiment item","False","122.11534946357169","127.27922061357854","188732.55349998362","-62.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","74.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","5","5","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","1.0303030303030303","240","120","130.84181199329362","180","120","164.6418372243995","0","0","psycho","1","Melodramatic Milgram","4.0.13","1","50","0","0.6","1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.02954682773209573","0.0008730150290301412","psycho","1","1024","2","48000","-16","experiment","187925.62780017033","60.364292012857575","56.07229803759924","60","12","60","12","403","odd","103.0","-96.0","-0.8418732202657068","186321.29210000858","157231.4452000428","159423.128800001","4106.6626000683755","188749.0364999976","156223.07830001228","156730.93180009164","185315.88450004347","185820.42160001583","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","185310.16460014507","168005.95959997736","186649.4303001091","157552.24060011096","185312.6563001424","156220.01390019432","156218.12269999646","117550.0721000135","185310.29579997994","156218.1731001474","188748.9972000476","188732.55349998362","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","-4"
"0.41915670251790543","49.4019070356799","1.3284872384920412","-28.65428632240409","50","169.75019280787646","7.3602943869989375","0.5964564306831218","0","-0.24485864975466304","undefined","undefined","undefined","undefined","-0.754353440246756","-70.77528089887642","#808180","1","0.35921209000141896","psycho","psycho","1.2788900899220295","-47.846745186336335","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","7","7","0","6","7","7","6","6","0","0","0","0","0","0","0","0","0","6","0","6","7","6","7","7","0","6","7","6","Thu Nov 14 13:15:03 2024","The main experiment item","False","193.4019070356799","144.0","192120.03400013782","7.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","88.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","6","6","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-2.460674157303371","240","120","118.72110991007797","180","120","167.84674518633634","0","0","psycho","1","Melodramatic Milgram","4.0.13","1","50","0","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.028069734565560986","0.0007879099985810492","psycho","1","1024","2","48000","-16","experiment","191053.63900004886","50.16486353507804","54.40321099441141","60","12","60","12","403","odd","-82.0","-131.0","-0.8418732202657068","189780.54379997775","157231.4452000428","159423.128800001","4106.6626000683755","192132.25330016576","156223.07830001228","156730.93180009164","188773.12200004235","189280.292800162","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","188769.14840005338","168005.95959997736","190114.44310005754","157552.24060011096","188769.96320020407","156220.01390019432","156218.12269999646","117550.0721000135","188769.19370004907","156218.1731001474","192132.21439998597","192120.03400013782","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","3.0"
"0.25754781649249764","-36.45680434865032","-78.9348552864191","-13.4183035999867","50","-178.2548681094436","12.744829240712306","0.30206664063937444","0","-0.8803372193736783","undefined","undefined","undefined","undefined","-0.11860200978039044","-21.189189189189193","#808180","1","0.08893922915406875","psycho","psycho","4.708406937498609","-39.59807578479558","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","7","0","7","7","7","7","7","0","0","0","0","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","7","Thu Nov 14 13:15:03 2024","The main experiment item","False","90.82241626492822","127.27922061357854","195515.72820008732","84.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","84.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","7","7","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-0.7477477477477478","240","120","115.29159306250139","-180","120","159.59807578479558","0","0","psycho","5","Melodramatic Milgram","4.0.13","-1","50","5","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","-0.032569477213047836","0.0010607708459312423","psycho","1","1024","2","48000","-16","experiment","194413.61819999292","64.71263791946772","57.28415874386826","60","12","60","12","403","odd","-138.0","-82.0","-0.8418732202657068","193164.75220001303","157231.4452000428","159423.128800001","4106.6626000683755","195532.3910000734","156223.07830001228","156730.93180009164","192156.29650000483","192664.39970000647","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","192152.6755001396","168005.95959997736","193495.80130004324","157552.24060011096","192153.3008001279","156220.01390019432","156218.12269999646","117550.0721000135","192152.72120013833","156218.1731001474","195532.3450001888","195515.72820008732","Yeni deney","0.005","0","0","0","white","1920","-200","200","168.37464405314137","-168.37464405314137","4"
"0.4151157272507998","-8.609140838481494","-26.02958019798153","-52.36617795478351","50","-178.2548681094436","12.744829240712306","0.5957207766727666","1","-0.23079647128576405","undefined","undefined","undefined","undefined","-0.767629843760707","3.0465116279069804","#808180","1","0.35842631504647104","psycho","psycho","-1.7115372181642243","-35.91674634994217","psycho","1","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","7","7","0","8","7","7","8","8","0","0","0","0","0","0","0","0","0","8","0","8","7","8","7","7","0","8","7","8","Thu Nov 14 13:15:03 2024","The main experiment item","False","118.67007977509705","127.27922061357854","199099.0420000162","64.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","55.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","8","8","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-0.9069767441860465","240","120","121.71153721816422","180","120","155.91674634994217","0","0","psycho","0","Melodramatic Milgram","4.0.13","1","50","0","0.6","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.039669698177941325","0.0015736849535289612","psycho","1","1024","2","48000","-16","experiment","197709.61400005035","53.193000167523806","56.229593304261265","60","12","60","12","403","odd","-108.0","-101.0","-0.8418732202657068","196561.49190012366","157231.4452000428","159423.128800001","4106.6626000683755","199115.76210008934","156223.07830001228","156730.93180009164","195556.5033000894","196061.34760007262","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","195552.67540016212","168005.95959997736","196887.97140005045","157552.24060011096","195553.47830010578","156220.01390019432","156218.12269999646","117550.0721000135","195552.72240005434","156218.1731001474","199115.71500007994","199099.0420000162","Yeni deney","0.005","0","0","0","red","1920","-200","200","168.37464405314137","-168.37464405314137","4"
"0.22872740398618982","34.930517964741824","37.31035800813228","-10.052734461299991","50","175.12309930367178","-9.43913207249536","0.29815844915563283","1","-0.7877838971834611","undefined","undefined","undefined","undefined","-0.21189652470598774","-27.287671232876704","#808180","1","0.08968042188944891","psycho","psycho","5.837614155560658","-22.373684575968724","psycho","0.75","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","7","7","0","9","7","7","9","9","0","0","0","0","0","0","0","0","0","9","0","9","7","9","7","7","0","9","7","9","Thu Nov 14 13:15:03 2024","The main experiment item","False","178.93051796474182","144.0","202549.08750019968","24.0","scatterplot experiment_3.osexp","C:\Users\B128\Desktop\Özgür","96.0","False","mono","False","18","no","white","no","yes","1080","49","psycho","9","9","7","C:/Users/B128/Desktop/Özgür/Özgür - Scatterplots - Exp 3 - Data/subject-403.csv","-2.863013698630137","240","120","114.16238584443934","180","120","142.37368457596872","0","0","psycho","1","Melodramatic Milgram","4.0.13","1","50","0","0.3","-1","0","space","space","space","space","space","space","space","space","space","NA","2453.066299902275","10594.150400022045","41618.41330002062","38995.73820014484","13436.35579990223","6588.5827001184225","2173.351899953559","3991.775299888104","2453.066299902275","NA","2","0.017876747762137307","0.0003195781105510812","psycho","1","1024","2","48000","-16","experiment","201517.66810007393","59.1869969781138","58.31342294316209","60","12","60","12","403","odd","-49.0","-113.0","-0.8418732202657068","200148.63770012744","157231.4452000428","159423.128800001","4106.6626000683755","202566.0508000292","156223.07830001228","156730.93180009164","199140.30560012907","199648.1819001492","4123.529199976474","14723.272199975327","56345.92840005644","95345.32900014892","108785.06790008396","115376.36710004881","161557.87100014277","165552.5802001357","NA","199136.44670019858","168005.95959997736","200483.36720000952","157552.24060011096","199137.25830009207","156220.01390019432","156218.12269999646","117550.0721000135","199136.49399997666","156218.1731001474","202566.00089999847","202549.08750019968","Yeni deney","0.005","0","0","0","red","1920","-200","200","168.37464405314137","-168.37464405314137","3.0"
